Total Nacional;Comunidades y Ciudades Autónomas;Tamaño de la vivienda;Tipo de dato;Periodo;Total
Total Nacional;;Total;Índice;2023;118,727
Total Nacional;;Total;Índice;2022;115,684
Total Nacional;;Total;Índice;2021;112,694
Total Nacional;;Total;Índice;2020;110,942
Total Nacional;;Total;Índice;2019;109,999
Total Nacional;;Total;Índice;2018;106,247
Total Nacional;;Total;Índice;2017;103,528
Total Nacional;;Total;Índice;2016;101,681
Total Nacional;;Total;Índice;2015;100
Total Nacional;;Total;Índice;2014;99,741
Total Nacional;;Total;Índice;2013;100,493
Total Nacional;;Total;Índice;2012;103,193
Total Nacional;;Total;Índice;2011;104,761
Total Nacional;;Total;Variación anual;2023;2,6
Total Nacional;;Total;Variación anual;2022;2,7
Total Nacional;;Total;Variación anual;2021;1,6
Total Nacional;;Total;Variación anual;2020;0,9
Total Nacional;;Total;Variación anual;2019;3,5
Total Nacional;;Total;Variación anual;2018;2,6
Total Nacional;;Total;Variación anual;2017;1,8
Total Nacional;;Total;Variación anual;2016;1,7
Total Nacional;;Total;Variación anual;2015;0,3
Total Nacional;;Total;Variación anual;2014;-0,7
Total Nacional;;Total;Variación anual;2013;-2,6
Total Nacional;;Total;Variación anual;2012;-1,5
Total Nacional;;Total;Variación anual;2011;..
Total Nacional;;<=60;Índice;2023;121,478
Total Nacional;;<=60;Índice;2022;118,023
Total Nacional;;<=60;Índice;2021;114,919
Total Nacional;;<=60;Índice;2020;113,584
Total Nacional;;<=60;Índice;2019;112,528
Total Nacional;;<=60;Índice;2018;107,659
Total Nacional;;<=60;Índice;2017;104,28
Total Nacional;;<=60;Índice;2016;101,938
Total Nacional;;<=60;Índice;2015;100
Total Nacional;;<=60;Índice;2014;99,526
Total Nacional;;<=60;Índice;2013;100,652
Total Nacional;;<=60;Índice;2012;103,929
Total Nacional;;<=60;Índice;2011;105,73
Total Nacional;;<=60;Variación anual;2023;2,9
Total Nacional;;<=60;Variación anual;2022;2,7
Total Nacional;;<=60;Variación anual;2021;1,2
Total Nacional;;<=60;Variación anual;2020;0,9
Total Nacional;;<=60;Variación anual;2019;4,5
Total Nacional;;<=60;Variación anual;2018;3,2
Total Nacional;;<=60;Variación anual;2017;2,3
Total Nacional;;<=60;Variación anual;2016;1,9
Total Nacional;;<=60;Variación anual;2015;0,5
Total Nacional;;<=60;Variación anual;2014;-1,1
Total Nacional;;<=60;Variación anual;2013;-3,2
Total Nacional;;<=60;Variación anual;2012;-1,7
Total Nacional;;<=60;Variación anual;2011;..
Total Nacional;;(60-75];Índice;2023;119,636
Total Nacional;;(60-75];Índice;2022;116,547
Total Nacional;;(60-75];Índice;2021;113,592
Total Nacional;;(60-75];Índice;2020;111,813
Total Nacional;;(60-75];Índice;2019;110,658
Total Nacional;;(60-75];Índice;2018;106,499
Total Nacional;;(60-75];Índice;2017;103,587
Total Nacional;;(60-75];Índice;2016;101,712
Total Nacional;;(60-75];Índice;2015;100
Total Nacional;;(60-75];Índice;2014;99,886
Total Nacional;;(60-75];Índice;2013;100,935
Total Nacional;;(60-75];Índice;2012;104,088
Total Nacional;;(60-75];Índice;2011;105,885
Total Nacional;;(60-75];Variación anual;2023;2,7
Total Nacional;;(60-75];Variación anual;2022;2,6
Total Nacional;;(60-75];Variación anual;2021;1,6
Total Nacional;;(60-75];Variación anual;2020;1
Total Nacional;;(60-75];Variación anual;2019;3,9
Total Nacional;;(60-75];Variación anual;2018;2,8
Total Nacional;;(60-75];Variación anual;2017;1,8
Total Nacional;;(60-75];Variación anual;2016;1,7
Total Nacional;;(60-75];Variación anual;2015;0,1
Total Nacional;;(60-75];Variación anual;2014;-1
Total Nacional;;(60-75];Variación anual;2013;-3
